TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
VAN,14,3,0,"BUF, DET, TOR",44%,"Good [46,49,37]",0,3,0,38,VAN14
VAN,15,4,0,"MTL, OTT, COL, EDM",41%,"Good [17,32,83,33]",2,3,0,34,VAN15
VAN,16,4,0,"NYI, WSH, N.J, PIT",59%,"Average [39,81,50,57]",0,0,0,30,VAN16
VAN,17,3,0,"S.J, ANA, TOR",49%,"Good [50,61,37]",0,0,0,27,VAN17
VAN,18,4,0,"UTA, VGK, WPG, SEA",33%,"Good [52,44,32,4]",0,3,0,23,VAN18
VAN,19,4,1,"DAL, CBJ, CHI, WPG",35%,"Good [29,58,21,32]",2,2,0,19,VAN19
VAN,20,3,1,"OTT, NSH, SEA",21%,"Excellent [32,28,4]",0,0,0,16,VAN20
VAN,21,3,0,"FLA, T.B, STL",42%,"Good [63,50,22]",0,0,0,13,VAN21
VAN,22,3,0,"ANA, L.A, CAR",78%,"Difficult [61,50,96]",0,1,0,10,VAN22
VAN,23,4,2,"VGK, CGY, MIN, UTA",40%,"Good [44,40,25,52]",2,3,0,6,VAN23
VAN,24,6,0,"VGK, L.A, S.J, ANA, L.A, EDM",46%,"Good [44,50,50,61,50,33]",2,4,0,0,VAN24
VGK,1,3,1,"L.A, S.J, SEA",4%,"Excellent [50,50,4]",2,2,0,79,VGK1
VGK,2,3,0,"CAR, BOS, CAR",69%,"Average [96,16,96]",0,1,0,76,VGK2
VGK,3,3,1,"CBJ, FLA, T.B",60%,"Average [58,63,50]",2,2,0,73,VGK3
VGK,4,2,1,"CBJ, CGY",49%,"Good [58,40]",0,1,0,71,VGK4
VGK,5,3,0,"DET, T.B, ANA",55%,"Average [49,50,61]",0,0,0,68,VGK5
VGK,6,4,2,"FLA, NYI, STL, MIN",37%,"Good [63,39,22,25]",2,2,0,64,VGK6
VGK,7,3,0,"NYR, UTA, ANA",51%,"Average [40,52,61]",0,2,0,61,VGK7
VGK,8,4,0,"UTA, OTT, MTL, S.J",34%,"Good [52,32,17,50]",2,1,0,57,VGK8
VGK,9,3,1,"CHI, N.J, NYR",30%,"Excellent [21,50,40]",0,2,1,54,VGK9
VGK,10,3,0,"NYI, PHI, COL",47%,"Good [39,18,83]",0,3,0,51,VGK10
VGK,11,3,1,"N.J, CAR, EDM",64%,"Average [50,96,33]",2,2,0,48,VGK11
